Movie_Name,Runtime,Original_Language,Overview,Release Date,Genre,Keywords
Migration,83,en,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",2023-12-06,"Animation, Action, Adventure, Comedy, Family","duck, migration, flight, anthropomorphism, family, animal, chef, overprotective father, bird"
Poor Things,142,en,"Brought back to life by an unorthodox scientist, a young woman runs off with a debauched lawyer on a whirlwind adventure across the continents. Free from the prejudices of her times, she grows steadfast in her purpose to stand for equality and liberation.",2023-12-07,"Science Fiction, Romance, Comedy","ship, london, england, experiment, paris, france, based on novel or book, obsession, lisbon, portugal, crooked lawyer, love, domestic abuse, female protagonist, doctor, prostitution, cruelty, scientist, disfigured face, exploring sexuality, sex worker, female empowerment, female sexuality, brain transplant, absurdism, quest for knowledge, spousal abuse, women's liberation, alexandria egypt, victorian era, quest for identity, frankenstein, body horror"
Anyone But You,103,en,"After an amazing first date, Bea and Ben’s fiery attraction turns ice cold — until they find themselves unexpectedly reunited at a destination wedding in Australia. So they do what any two mature adults would do: pretend to be a couple.",2023-12-21,"Comedy, Romance","australia, hiking, college, romantic comedy, based on play or musical, shakespeare in modern dress, aftercreditsstinger, duringcreditsstinger, fake dating, sister's wedding, much ado about nothing"
Wonka,117,en,"Willy Wonka – chock-full of ideas and determined to change the world one delectable bite at a time – is proof that the best things in life begin with a dream, and if you’re lucky enough to meet Willy Wonka, anything is possible.",2023-12-06,"Comedy, Family, Fantasy","chocolate, musical, prequel, duringcreditsstinger, cartel"
Ruthless,93,en,"A high school coach, whose teenage daughter was murdered, takes matters into his own hands by going after the men who kidnap his students for their sex trafficking operation.",2023-12-14,"Action, Thriller","human trafficking, wrestling coach, las vegas, sex trafficking, high school student, death of daughter, sex ring, high school coach"
The Marvels,105,en,"Carol Danvers, aka Captain Marvel, has reclaimed her identity from the tyrannical Kree and taken revenge on the Supreme Intelligence. But unintended consequences see Carol shouldering the burden of a destabilized universe. When her duties send her to an anomalous wormhole linked to a Kree revolutionary, her powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol’s estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe.",2023-11-08,"Science Fiction, Adventure, Action","hero, superhero, space travel, based on comic, sequel, teenage girl, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), space adventure"
Oppenheimer,181,en,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,2023-07-19,"Drama, History","husband wife relationship, based on novel or book, atomic bomb, patriotism, new mexico, world war ii, atomic bomb test, physics, biography, based on true story, interrogation, guilt, historical event, nuclear weapons, communism, red scare, mccarthyism, top secret project, moral dilemma, usa politics, 1940s, antisemitism, 20th century, manhattan project, los alamos"
The Adventures,143,th,"Joy, a secretary at a large multinational company, has an online shopping problem, likes to read adventure novels and watch travel and adventure shows. She daydreams about living a life of adventure.",2023-12-22,"Romance, Comedy, Adventure",
Wish,95,en,"Asha, a sharp-witted idealist, makes a wish so powerful that it is answered by a cosmic force – a little ball of boundless energy called Star. Together, Asha and Star confront a most formidable foe - the ruler of Rosas, King Magnifico - to save her community and prove that when the will of one courageous human connects with the magic of the stars, wondrous things can happen.",2023-11-13,"Animation, Family, Fantasy, Adventure","friendship, black magic, wish, musical, computer animation, female protagonist, betrayal by friend, aftercreditsstinger, woman director, wicked king, disabled person, evil king, star, corrupt government"
Skal - Fight for Survival,77,en,"My name's Arthur, a huge Internet star who's just hit 3 million subs. While in the midst of throwing an epic party to celebrate, the universe had the balls to bring on the effing apocalypse and cut my night short. What was supposed to be a perfect hangover, has turned into an epic fight for survival.",2023-11-24,"Action, Horror, Comedy, Thriller",
Aquaman and the Lost Kingdom,124,en,"Black Manta seeks revenge on Aquaman for his father's death. Wielding the Black Trident's power, he becomes a formidable foe. To defend Atlantis, Aquaman forges an alliance with his imprisoned brother. They must protect the kingdom.",2023-12-20,"Action, Adventure, Fantasy","superhero, secret society, half-brother, sequel, revenge, dysfunctional relationship, dc extended universe (dceu), ancient evil, underwater world, vengeance, brother brother relationship"
Robot Dreams,102,es,"Dog lives in Manhattan and he's tired of being alone. One day he decides to build himself a robot, a companion. Their friendship blossoms, until they become inseparable, to the rhythm of 80's NYC. One summer night, Dog, with great sadness, is forced to abandon Robot at the beach. Will they ever meet again?",2023-10-20,"Animation, Comedy, Drama, Family","friendship, based on comic, summer, robot, adult animation"
The Five,75,en,"A scorned woman enlist the help of five strangers to execute a bank robbery. Tensions rise as the men anxiously await her arrival with the money, leaving the crew to wonder if they have been betrayed.",2023-01-07,Western,
The Wild,106,ko,"Woo-chul used to be a successful boxer, but he had to go to prison because his opponent died in the middle of a match. Now that he’s been released, he intends to become a model citizen. Meanwhile, his friend Do-shik will do whatever it takes to get ahead. After choosing different paths, they will be forced to plot against and betray one another.",2023-11-15,"Crime, Action",
Dad or Mom,92,es,"Florencia and Vicente are getting divorced. When both are promoted at their jobs, they will do anything in order to do not keep custody of their children.",2023-11-30,Comedy,
The Family Plan,119,en,"Dan Morgan is many things: a devoted husband, a loving father, a celebrated car salesman. He's also a former assassin. And when his past catches up to his present, he's forced to take his unsuspecting family on a road trip unlike any other.",2023-12-14,"Action, Comedy","assassin, las vegas, family, duringcreditsstinger, hidden identity, family trip, roadtrip, former soldier, father and son"
Napoleon,158,en,"An epic that details the checkered rise and fall of French Emperor Napoleon Bonaparte and his relentless journey to power through the prism of his addictive, volatile relationship with his wife, Josephine.",2023-11-22,"Drama, History, War","empire, france, general, biography, napoleon bonaparte, based on true story, napoleonic wars, 19th century, 1790s, biopic, violence"
Boonie Bears: Guardian Code,94,zh,"Briar and Bramble, who lost their mother Barbara when they were cubs, are thrown into danger when escorting a scientist, which may lead them to a family reunion.",2023-01-22,"Animation, Comedy, Science Fiction, Family, Adventure",
The Super Mario Bros. Movie,93,en,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",2023-04-05,"Animation, Family, Adventure, Fantasy, Comedy","gorilla, plumber, anthropomorphism, magic mushroom, based on video game, toad, aftercreditsstinger, duringcreditsstinger, damsel in distress, piano, brother brother relationship, evil king"
Barbie,114,en,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",2023-07-19,"Comedy, Adventure","feminism, satire, patriarchy, based on toy, female protagonist, doll, fantasy world, motherhood, existentialism, woman director, mother daughter relationship, gender discrimination, barbie, secret world"
Anatomy of a Fall,152,fr,"A woman is suspected of her husband's murder, and their blind son faces a moral dilemma as the sole witness.",2023-08-23,"Thriller, Mystery, Crime","husband wife relationship, winter, bisexuality, autopsy, blind, courtroom, lgbt, death of husband, woman director, courtroom drama, mother son relationship, bisexual woman, grenoble"
Dogman,115,en,"A boy, bruised by life, finds his salvation through the love of his dogs.",2023-09-27,"Action, Drama, Crime","violent father, singing, dog, gangsters, dogs"
