Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies
Never Weaken,29,English,"Our hero is infatuated with a girl in the next office. In order to drum up business for her boss, an osteopath, he gets an actor friend to pretend injuries that the doctor ""cures"", thereby building a reputation. When he hears that his girl is marrying another, he decides to commit suicide and spends the bulk of the film in thrilling, failed attempts.",1921,Comedy,silent film,"Mark Jones, Charles Stevenson, Mildred Davis, Roy Brooks, Harold Lloyd",Fred C. Newmeyer,"Max, Max Amazon Channel, Criterion Channel ",,,"Rolin Films, Pathé Exchange"
Passion Fruit,0,English,"Filmed on location at Monterey, CA, and starring exotic stage dancer Mlle. Doraldina, this long-lost South Seas romance featured Stuart Holmes as a vicious plantation overseer who poisons his boss (W.A. Bainbridge) in order to possess both the unfortunate man's estate and his daughter.",1921,Romance,None,"Doraldina, Stuart Holmes, Sidney Bracey, Florence Turner, Edward Earle",John Ince,,,,Metro Pictures Corporation
Bandits Beware,20,English,Bandits Beware is a 1921 silent Western.,1921,Western,None,"John Judd, Hoot Gibson, Marcella Pershing, Charles Newton",Lee Kohlmar,,,,Universal Film Manufacturing Company
Manhatta,11,English,"Morning reveals New York harbor, the wharves, the Brooklyn Bridge. A ferry boat docks, disgorging its huddled mass. People move briskly along Wall St. or stroll more languorously through a cemetery. Ranks of skyscrapers extrude columns of smoke and steam. In plain view. Or framed, as through a balustrade. A crane promotes the city's upward progress, as an ironworker balances on a high beam. A locomotive in a railway yard prepares to depart, while an arriving ocean liner jostles with attentive tugboats. Fading sunlight is reflected in the waters of the harbor. The imagery is interspersed with quotations from Walt Whitman, who is left unnamed.",1921,Documentary,"city portrait, silent film, manhattan, new york city, short film, poetic documentary",,"Paul Strand, Charles Sheeler",,,,
Wandering Souls,103,German,,1921,,banned,"Asta Nielsen, Alfred Abel, Elsa Wagner, Walter Janssen, Lydia Potechina",Carl Froelich,,,,
The Haunted Castle,81,German,"The sinister Count Oetsch scandalizes the aristocratic social gathering at Castle Vogelod as he announces his intention to ""crash"" the festivities. Baroness Safferstätt is expected shortly, and the guests are well-aware of the rumors that Count Oetsch murdered the baroness' late husband. Oetsch refuses to leave, vowing that he will reveal the identity of the real killer. Before the weekend is through, the Count and Baroness will reveal secrets too shocking to be believed!",1921,"Mystery, Drama, Crime","castle, hunt, fratricide, uninvited guest","Lothar Mehnert, Olga Tschechowa, Lulu Kyser-Korff, Paul Bildt, Arnold Korff",F. W. Murnau,,,Kino Now ,"Uco-Film GmbH, Decla-Bioscop"
Forbidden Fruit,87,English,"Mary Maddock works as a seamstress to bring home money while her husband Steve, unemployed, has no real prospects of earning money. Mary's employers, are trying to strike an oil related business deal with a rich man by the name of Nelson Rogers. The deal does not seem to be on the table, as Mr. Rogers is leaving town shortly and does not have the time to work out the details of such a deal. In an order to entice him to stay, Mrs. Mallory - wife of Mr. Mallory who is proposing the business deal - convinces Mary to be her guest at a dinner party with the intent of making Mr. Rogers fall for her and thus stay long enough for Mr. Mallory to make him agree to a business deal.",1921,"Drama, Romance",None,"Theodore Roberts, Agnes Ayres, Forrest Stanley, Clarence Burton, Kathlyn Williams",Cecil B. DeMille,,,,Paramount
The Blot,91,English,"Professor Griggs, teaching at the college, doesn't get paid a living wage; his next door neighbor, successful shoemaker Olsen, has money and plentiful food, while the Griggses have hardly any. When the professor's rich student Phil West falls for beautiful Griggs daughter Amelia and also befriends the poor Reverend Gates (a young man who is also in love with Amelia), he observes the difference in his life and theirs and tries to help make a difference.",1921,Drama,"parent child relationship, professor, chicken, college, social commentary, neighbor, poverty, conscience, silent film, pride, immaturity, reverend, new car, woman director, rich man poor woman, immigrant family, librarian, shoemaker, romantic rival, groceries, show-off","Margaret McWade, Marie Walcamp, Claire Windsor, Philip Hubbard, Louis Calhern",Lois Weber,,,,Lois Weber Productions
Trailin',57,English,"A Tom Mix classic! Tom is a devil-may-care aristocrat whose father has mysteriously concealed all info about his deceased mother. One day, an old man shows up and shoots Tom's father dead! The only clue Tom has is a picture of a far-away ranch in Idaho that was hidden away for years in a secret locked room in their mansion.",1921,Western,None,"Eva Novak, Sid Jordan, Bert Sprotte, James Gordon, Tom Mix",Lynn Reynolds,,,,
Alias Ladyfingers,0,English,"When Rachel Stetherill's daughter marries a man of whom she disapproves, Rachel disowns her. Five years later her daughter, now widowed, is killed. Her young son comes under the influence of a professional safecracker and is soon on his way to becoming a hardened criminal. Twenty yeas later the Stetherill family lawyer learns that the infamous thief known as Ladyfingers bears a striking resemblance to Rachel's husband--and has fallen in love with Enid, Mrs. Stetherill's young ward. Complications ensue.",1921,"Crime, Drama",None,"Bert Lytell, Frank Elliott, DeWitt Jennings, Ora Carew, Edythe Chapman",Bayard Veiller,,,,Metro Pictures Corporation
Black Roses,60,English,Japanese architect Yoda is hired as groundskeeper for retired criminal Benson Burleigh.,1921,"Crime, Drama",None,"Tsuru Aoki, Andrew Robson, Sessue Hayakawa, Myrtle Stedman, Toyo Fujita",Colin Campbell,,,,Hayakawa Feature Play Company
The History of the Civil War,94,Russian,"The epic story of the Russian Civil War (1918-21): the White Terror, the counterrevolutionary uprisings, the guerrilla war, the Kolchak front, the Wrangel front and the Kronstadt rebellion. Chaos and violence, devastation and death.",1921,"Documentary, History","civil war, propaganda, soviet union, anti-communism, russian politics, silent film, russian history, communism, communist propaganda, russian civil war (1918-21), political repression, bolshevism, soviet union history, czarism","Fyodor Raskolnikov, Konstantin Mekhonoshin, Innocenti Kozhevnikov, Nicolai Kazadanov, Leon Trotsky",Dziga Vertov,,,,Narkompros
Destiny,98,German,"As a young couple stops and rests in a small village inn, the man is abducted by Death and is sequestered behind a huge doorless, windowless wall. The woman finds a mystic entrance and is met by Death, who tells her three separate stories set in exotic locales, all involving circumstances similar to hers.",1921,"Drama, Fantasy, Romance","china, self sacrifice, wall, death, silent film, stranger, inn, expressionism, cementery, life after death, german expressionism","Karl Rückert, Hans Sternberg, Lil Dagover, Bernhard Goetzke, Walter Janssen",Fritz Lang,FlixFling ,"Vudu, FlixFling ","Vudu, FlixFling ",Decla-Bioscop
The Wallop,50,English,"John Wesley Pringle, adventurer at large, returns home after making his strike and finds his old girl friend, Stella, engaged to Christopher Foy, who is running for sheriff. Pringle foils an attempt by incumbent sheriff Matt Lisner to kill Foy, but when Foy is accused of a murder, Pringle, in a clever ruse, captures Foy, holds the posse at gunpoint, and then releases him, explaining his motive.",1921,Western,None,"Mignonne Golden, Harry Carey, Joe Harris, William Steele, Charles Le Moyne",John Ford,,,,Universal Film Manufacturing Company
Camille,70,English,"Camille is a courtesan in Paris. She falls deeply in love with a young man of promise, Armand Duval. When Armand's father begs her not to ruin his hope of a career and position by marrying Armand, she acquiesces and leaves her lover. However, when poverty and terminal illness overwhelm her, Camille discovers that Armand has not lost his love for her.",1921,"Drama, Romance","courtesan, promise, illness, silent film, camelia","Rudolph Valentino, Rex Cherryman, Alla Nazimova, Zeffie Tilbury, Arthur Hoyt",Ray C. Smallwood,,,,Nazimova Productions
Mad Love,82,German,"Richard de la Croix's brother, Andreas, has been driven insane by a notorious vamp and socialite named Sappho. A friend takes Richard to the Odeon to meet her, but when Sappho actually meets him, he is unaware that she is the woman who drove Andreas to be institutionalised. Sappho genuinely falls in love with Richard, and decides to leave her vampy ways and her older lover behind her so that she can have him.",1921,"Drama, Romance",None,"Pola Negri, Albert Steinrück, Alfred Abel, Helga Molander, Johannes Riemann",Dmytro Bukhowetzkyi,,,,Projektions-AG Union
Lotte Lore,0,German,,1921,Drama,None,"Sophie Pagay, Alfred Abel, Hermann Picha, Ilka Grüning",Franz Eckstein,,,,
Cleaning Up!!?,1,English,"First film produced by Laugh-O-Gram Studio, as part of demo reel. This film is not really animated, it just consists of Walt drawing a single frame.  Part of the Newman Laugh-O-Grams Series.",1921,Animation,None,,Walt Disney,,,,Laugh-O-Gram Films
The Boat,23,English,"Buster Keaton and family attempt to set sail in his handmade boat, The Damfino.",1921,Comedy,"silent film, storm at sea, boating, short film","Buster Keaton, Sybil Seely, Edward F. Cline","Buster Keaton, Edward F. Cline",FilmBox+ ,,,
Sure Fire,50,English,The rancher Jeff Bransford returns to his ancestral acres and finds them heavily mortgaged and about to be foreclosed and is defended by hired men with guns.,1921,Western,None,"Fritzi Brunette, Hoot Gibson, B. Reeves Eason Jr., Molly Malone, Harry Carter",John Ford,,,,Universal Film Manufacturing Company
Hands Off!,0,English,"Tex Robert rescues beautiful Ramona Wadley from the gang-leader of cattle rustlers.  Later, he saves Ramona's sister from a stampede, and is then awarded a job on the Wadley ranch. The obligatory showdown features Pete and the gang.",1921,Western,None,"Frank Clark, Lloyd Bacon, Pauline Curley, Charles K. French, Tom Mix",George Marshall,,,,Fox Film Corporation
The Torrent,50,English,"Velma is unhappily married to Sam Patton, a millionaire roué. Aboard his yacht bound for the South Seas, Sam pays more attention to his guests than to his wife, and she flees when he attempts to force liquor on her. A sudden paralytic stroke renders him helpless, and she believes him dead. A storm comes up, and Velma is washed ashore on a desert isle. She is later joined by Lieut. Paul Mack, whose hydroplane has run out of fuel. They fall in love, but their idyll is broken when they are captured by a band of moonshiners.",1921,Adventure,None,"Eva Novak, Jack Curtis, Elita Proctor Otis, Jack Perrin, Lee Shumway",Stuart Paton,,,,Universal Film Manufacturing Company
The Ace of Hearts,75,English,A romantic rivalry among members of a secret society becomes even more tense when one of the men is assigned to carry out an assassination.,1921,"Crime, Drama, Mystery, Thriller","bomb, secret society, romantic rivalry, murder, silent film, socialite, assassination plan, radicalization","John Bowers, Hardee Kirkland, Leatrice Joy, Lon Chaney, Raymond Hatton",Wallace Worsley,,,,"Goldwyn Pictures Corporation, Warner Home Video"
The Idle Class,32,English,"At an upper class golf resort, a tramp discovers he's the lookalike of a rich man with a beautiful, unhappy wife.",1921,Comedy,"mistaken identity, tramp, look-alike, class differences, silent film, suit of armor, little tramp, neglected wife, costume party","Al Ernest Garcia, Lita Grey, Charlie Chaplin, Henry Bergman, Edna Purviance",Charlie Chaplin,"Max, Max Amazon Channel, Criterion Channel ",,,Charles Chaplin Productions
Dream Street,132,English,Three men in London compete for the love of a dance-hall girl.,1921,"Romance, Drama",None,"Charles Emmett Mack, Tyrone Power Sr., Ralph Graves, Edward Peil Sr., Carol Dempster",D.W. Griffith,,,,D.W. Griffith Productions
Die Liebschaften des Hektor Dalmore,89,German,,1921,Drama,None,"Helene Ford, Maja Servos, Kitty Moran, Conrad Veidt, Erna Morena",Richard Oswald,,,,
Sunless Sunday,14,English,A girl gets trapped by racketeers and chaos happens at a gambling house.,1921,Comedy,None,"Cliff Bowes, Lillian Biron, Jimmie Adams, Tom Kennedy, Frank Hayes",Charles Reisner,,,,Astra Film
Black Beauty,70,English,"Anna Sewell's ""autobiography"" of a horse named Black Beauty is here expanded to include the adventures of the humans who surround the horse.",1921,Drama,horse,"Bobbie Mack, Jean Paige, John Steppling, James Morrison, George Webb",David Smith,,,,Vitagraph Company of America
Lady Hamilton,100,German,The married Lady Emma Hamilton has an ill fated romance with Admiral Horatio Nelson.,1921,"Drama, History",None,"Werner Krauß, Liane Haid, Reinhold Schünzel, Anton Pointner, Conrad Veidt",Richard Oswald,,,,Richard Oswald Produktion
The Sheik,66,English,"Sheik Ahmed desperately desires feisty British socialite Diana, so he abducts her and carries her off to his luxurious tent-palace in the desert. The free-spirited Diana recoils from his passionate embraces and yearns to be released. Later, allowed to go into the desert, she escapes and makes her way across the sands...",1921,"Adventure, Drama, Romance",silent film,"Rudolph Valentino, Agnes Ayres, George Waggner, Frank Butler, Ruth Miller",George Melford,Classix ,"Apple TV, Amazon Video, Vudu ","Apple TV, Amazon Video, Vudu ","Paramount, Famous Players-Lasky Corporation"
The Whistle,70,English,Robert must avenge his son who was killed in a workplace accident.,1921,"Romance, Drama","factory worker, big business, death, accident, vengeance","William S. Hart, Myrtle Stedman, Will Jim Hatton, Georgie Stone, Frank Brownlee",Lambert Hillyer,,,,William S. Hart Productions
The Wildcat,85,German,"A charismatic lieutenant newly assigned to a remote fort is captured by a group of mountain bandits, thus setting in motion a madcap farce that is Lubitsch at his most unrestrained. A wonderfully anarchic and playfully subversive satire of military life from one of the great comedy filmmakers.",1921,"Comedy, Drama, Romance","silent film, masochist, german expressionism","Pola Negri, Victor Janson, Hermann Thimig, Paul Heidemann, Wilhelm Diegelmann",Ernst Lubitsch,,,Kino Now ,Projektions-AG Union
The Concert,60,English,"A concert pianist, the romantic idol of many women, is seduced away from his wife. The seductress's husband takes in the pianist's wife, and all four pretend to be happy with the new arrangement.",1921,,None,"Mabel Julienne Scott, Myrtle Stedman, Gertrude Astor, Lewis Stone, Raymond Hatton",Victor Schertzinger,,,,
The Swamp,62,English,"Mary and her son Buster live in a single room in the slums of the city, having been deserted by their husband and father, wealthy Spencer Wellington. While selling newspapers, Buster meets Wang.",1921,Drama,None,"Bessie Love, Sessue Hayakawa, Janice Wilson, Frankie Lee, Lillian Langdon",Colin Campbell,,,,Hayakawa Feature Play Company
