Title,Runtime (minutes),Language,Overview,Release Date,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
Evangelion: 3.0+1.0 Thrice Upon a Time,155,Japanese,"In the aftermath of the Fourth Impact, stranded without their Evangelions, Shinji, Asuka and Rei find refuge in one of the rare pockets of humanity that still exist on the ruined planet Earth. There, each lives a life far different from their days as an Evangelion pilot. However, the danger to the world is far from over. A new impact is looming on the horizon—one that will prove to be the true end of Evangelion.",2021-03-08,"Animation, Action, Science Fiction, Drama","technology, dystopia, mecha, battle, anime, father son conflict, humanity under attack, based on tv series, post apocalypse","Megumi Ogata, Megumi Hayashibara, Kotono Mitsuishi, Maaya Sakamoto, Yuko Miyamura","Katsuichi Nakayama, Kazuya Tsurumaki, Hideaki Anno, Mahiro Maeda",Amazon Prime Video ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox ",khara,https://www.amazon.com/dp/B098WNZSQ3
Doors,84,English,"Without warning, millions of mysterious alien “doors” suddenly appear around the globe. In a rush to determine the reason for their arrival, mankind must work together to understand the purpose of these cosmic anomalies.",2021-03-23,Science Fiction,"portal, anthology","Wilson Bethel, Josh Peck, Lina Esco, Jordan Rock, Kyp Malone","Saman Kesh, Jeff Desom, Dugan O'Neal",Amazon Prime Video ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Bloody Disgusting, BoulderLight Pictures, Going Rogue",Unknown
Nobody,92,English,"Hutch Mansell, a suburban dad, overlooked husband, nothing neighbor — a ""nobody."" When two thieves break into his home one night, Hutch's unknown long-simmering rage is ignited and propels him on a brutal path that will uncover dark secrets he fought to leave behind.",2021-03-18,"Action, Thriller","assassin, double life, midlife crisis, bratva (russian mafia), secret organization, thief, home invasion, family, duringcreditsstinger","Bob Odenkirk, Connie Nielsen, Aleksey Serebryakov, Michael Ironside, Christopher Lloyd",Ilya Naishuller,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","87North Productions, Odenkirk Provissiero Entertainment, Eighty Two Films",https://www.nobody.movie
Wrath of Man,119,English,"A cold and mysterious new security guard for a Los Angeles cash truck company surprises his co-workers when he unleashes precision skills during a heist. The crew is left wondering who he is and where he came from. Soon, the marksman's ultimate motive becomes clear as he takes dramatic and irrevocable steps to settle a score.",2021-04-22,Action,"robbery, crime boss, revenge, shootout, shooter, los angeles, california, theft, security guard, ex soldier, cash truck","Josh Hartnett, Jason Statham, Holt McCallany, Scott Eastwood, Darrell D'Silva",Guy Ritchie,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Google Play Movies, YouTube, Vudu, Microsoft Store ","Miramax, Toff Guy Films, Flic Films, Metro-Goldwyn-Mayer",https://www.miramax.com/movie/wrath-of-man
The Serpent,90,English,Top special agent Lucinda Kavsky works for a secret part of the CIA. She's given a special assignment but then set up by her own agency.,2021-01-28,Action,"spy, special agent","Gia Skova, Travis Aaron Wade, Craig Conway, Jason Burrill, Nigel Vonas",Gia Skova,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",Serpent Productions,http://serpentmovie.com
Tom & Jerry,101,English,"Tom the cat and Jerry the mouse get kicked out of their home and relocate to a fancy New York hotel, where a scrappy employee named Kayla will lose her job if she can’t evict Jerry before a high-class wedding at the hotel. Her solution? Hiring Tom to get rid of the pesky mouse.",2021-02-10,"Comedy, Family, Animation","aftercreditsstinger, live action and animation","Colin Jost, Chloë Grace Moretz, Rob Delaney, Michael Peña, Ken Jeong",Tim Story,"Netflix, Max, Max Amazon Channel, Netflix basic with Ads ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Warner Bros. Pictures Animation, Turner Entertainment, The Story Company, Warner Bros. Pictures",https://www.tomandjerrymovie.com
Weekend Warriors,93,English,A fun camping trip turns into a desperate fight for survival after two kids witness a horrific event in the wild. They have to endure the elements and wildlife and they must also find a way to reach civilization before it's too late.,2021-04-01,"Action, Thriller",None,"Corbin Bernsen, Jason Michael Carroll, Jason London, Juliet Rusche, Jack Gross",Ritchie Greer,,"Apple TV, Amazon Video, Google Play Movies, YouTube ","Apple TV, Amazon Video, Google Play Movies, YouTube ","My Black Lab Productions, Magic Arrow Films",https://www.weekendwarriorsthefilm.com/
The Misfits,94,English,"After being recruited by a group of unconventional thieves, renowned criminal Richard Pace finds himself caught up in an elaborate gold heist that promises to have far-reaching implications on his life and the lives of countless others.",2021-06-03,"Action, Thriller","gold, middle east, heist, prison break","Pierce Brosnan, Jamie Chung, Nick Cannon, Tim Roth, Rami Jaber",Renny Harlin,"Netflix, Starz Apple TV Channel, Netflix basic with Ads ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Kjam Media, RNG Entertainment, FilmGate Productions, Highland Film Group",Unknown
Dune,155,English,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",2021-09-15,"Science Fiction, Adventure","empire, future, epic, army, based on novel or book, prophecy, dystopia, emperor, sand, spice, hallucinogen, treason, baron, revenge, premonition, betrayal, space, water shortage, creature, desert, knife fight, destiny, giant worm, space opera, sand dune, messiah, domineering, mother son relationship, giant creature","Stellan Skarsgård, Rebecca Ferguson, Josh Brolin, Oscar Isaac, Timothée Chalamet",Denis Villeneuve,"Hulu, Max, Max Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",Legendary Pictures,https://www.dunemovie.com/
The Conjuring: The Devil Made Me Do It,111,English,"Paranormal investigators Ed and Lorraine Warren encounter what would become one of the most sensational cases from their files. The fight for the soul of a young boy takes them beyond anything they'd ever seen before, to mark the first time in U.S. history that a murder suspect would claim demonic possession as a defense.",2021-05-25,"Horror, Mystery, Thriller","supernatural, exorcism, connecticut, sequel, paranormal investigation, 1980s, religious horror, the conjuring universe","Sarah Catherine Hook, Vera Farmiga, Ruairí O'Connor, Julian Hilliard, Patrick Wilson",Michael Chaves,"Max, Max Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","New Line Cinema, The Safran Company, Atomic Monster",http://www.theconjuringmovie.net
Joey and Ella,99,English,"When a baby kangaroo gets accidentally swept up in a jewelry heist, she becomes separated from her mother for the first time in her young life. Alone and frightened, a worldly teenage girl Ella, who also knows the pain of losing her mother, discovers her and nurses Joey back to health. However, when Joey is falsely implicated in the robbery, Ella has to work quickly to reunite her with her mother before shes either captured by the bumbling jewel thieves or taken into custody by a determined detective hot on their trail.",2021-07-27,"Family, Adventure, Comedy",None,"Avalon Howard, Brooks Ryan, Britt Allen, Ashton Leigh, Angela Tran",Stephen Shimek,Pure Flix ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, FlixFling ","Ace Entertainment Films, 101 Films, Lionsgate Home Entertainment, Grindstone Entertainment Group, Black Sheep Films, Lionsgate",https://www.ace-entertainment.com/tvmovies/joey-ella
The Tomorrow War,138,English,"The world is stunned when a group of time travelers arrive from the year 2051 to deliver an urgent message: Thirty years in the future, mankind is losing a global war against a deadly alien species. The only hope for survival is for soldiers and civilians from the present to be transported to the future and join the fight. Among those recruited is high school teacher and family man Dan Forester. Determined to save the world for his young daughter, Dan teams up with a brilliant scientist and his estranged father in a desperate quest to rewrite the fate of the planet.",2021-09-03,"Action, Science Fiction, Adventure","world cup, time travel, global warming, glacier, alien, alien invasion, military, future war, father son reunion, hope for future, changing the past or future, message from the future, father son relationship, father daughter relationship, world war","Sam Richardson, Betty Gilpin, J.K. Simmons, Yvonne Strahovski, Chris Pratt",Chris McKay,Amazon Prime Video ,"Apple TV, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Google Play Movies, YouTube, Vudu, Microsoft Store ","Skydance Media, Phantom Four, Lit Entertainment Group",https://www.amazon.com/dp/B093CQZ2SM
Venom: Let There Be Carnage,97,English,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",2021-09-30,"Science Fiction, Action, Adventure","hero, psychopath, superhero, anti hero, villain, based on comic, sequel, creature, fear, aftercreditsstinger, symbiote, carnage, venom character","Naomie Harris, Woody Harrelson, Reid Scott, Michelle Williams, Tom Hardy",Andy Serkis,fuboTV ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Columbia Pictures, Pascal Pictures, Matt Tolmach Productions, Arad Productions",https://www.venom.movie
